Sr No;Date dd/mm/yyyy;Startup Name;Industry Vertical;SubVertical;City  Location;Investors Name;InvestmentnType;Amount in USD;Remarks
1357;2016/09/09;Byju\\xe2\\x80\\x99s;Education;Online Learning App;Bangalore;Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures;Private Equity;5,00,00,000;nan
1358;2016/09/09;NoBroker;Consumer Internet;Online Home Rental platform;Bangalore;Anand Chandrasekaran;Seed Funding;N/A;nan
1359;2016/09/10;Freshboxx;eCommerce;Fruits & vegetable eTailer;Hubli;Ravi Linganuri;Seed Funding;N/A;nan
1360;2016/09/10;CureInstant;Consumer Internet;Social Health Networking Platform;New Delhi;Dr. Rameshwar Kumar;Seed Funding;1,50,000;nan
1361;2016/09/10;Poshtic;Consumer Internet;Online health & Wellness platform;Noida;havya Sharma, Amit Nagar;Seed Funding;4,50,000;nan
1362;2016/09/10;KarmaCircles;Consumer Internet;Peer-to-peer Social Learning platform;New Delhi;Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni;Seed Funding;N/A;nan
1363;2016/09/12;Purple Style Labs;Consumer Internet;Personal Styling Online platform;Mumbai;Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan;Seed Funding;4,48,000;nan
1364;2016/09/12;Inuxu;Technology;Online Advertising Solutions;Pune;Fork Media;Private Equity;30,00,000;nan
1365;2016/09/12;Nykaa;eCommerce;Online Beauty products eTailer;Mumbai;Sunil Munjal, Mariwala family;Private Equity;1,23,00,000;nan
1366;2016/09/12;Glam Studios;Consumer Internet;Beauty Salon Aggregator;Noida;Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal;Seed Funding;3,00,000;nan
1367;2016/09/13;Findow;Consumer Internet;Fashion Discovery Mobile app;Bangalore;Raj Singh Bhandal;Seed Funding;N/A;nan
1368;2016/09/13;IdeaChakki;Consumer Internet;Restaurant Menu & Food mobile app;Delhi;Ratan Tata;Seed Funding;N/A;nan
1369;2016/09/13;ShoeKonnect;eCommerce;Footwear & Leather B2B App;Agra;Indian Angels Network;Seed Funding;N/A;nan
1370;2016/09/13;NearBuy;Consumer Internet;Online Deals & Discount platform;Gurgaon;BlackSoil Capital Pvt. Ltd.;Private Equity;25,00,000;nan
1371;2016/09/14;ZeroInfy;Consumer Internet;Online Video Lectures platform;Kolkata;Calcutta Angels Network;Seed Funding;N/A;nan
1372;2016/09/14;Flocareer;Consumer Internet;Jobs & Skill Validation platform;Bangalore;Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others;Seed Funding;1,50,000;nan
1373;2016/09/14;LensPick;eCommerce;eyewear eTailer;Bangalore;Scadea Solutions Inc;Private Equity;N/A;nan
1374;2016/09/15;infeedo;Consumer Internet;Employee engagement platform;Gurgaon;Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,;Seed Funding;2,00,000;nan
1375;2016/09/15;Furlenco;eCommerce;Online furniture rental startup;Bangalore;Lightbox Ventures and others;Private Equity;50,00,000;nan
1376;2016/09/15;GoPigeon;Consumer Internet;on-demand logistics service provider;Bangalore;Nexus Venture Partners;Private Equity;15,00,000;nan
1377;2016/09/16;NewsDistill;Consumer Internet;City based News Aggregator App;Hyderabad;Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem;Seed Funding;1,00,000;nan
1378;2016/09/16;DoctorInsta;Consumer Internet;Online Doctor Consultations;Gurgaon;RoundGlass Partners;Private Equity;10,00,000;nan
1379;2016/09/19;Milofy;Consumer Internet;Couple Socialization App;Bangalore;Accel Partners;Seed Funding;7,50,000;nan
1380;2016/09/19;Liqvid;Technology;Integrated eLearning content solutions;New Delhi;Gray Matters Capital;Private Equity;N/A;nan
1381;2016/09/19;Swiggy;Consumer Internet;Online Food Ordering & Delivery;Bangalore;Bessemer Venture Partners;Private Equity;1,50,00,000;nan
1382;2016/09/20;Codemojo;Consumer Internet;Customer Engagement Platform;Bangalore;CIO Angel Network;Seed Funding;N/A;nan
1383;2016/09/20;JustLikeNew;eCommerce;Online gadget Repair Services Marketplace;Hyderabad;LetsVenture;Seed Funding;5,00,000;nan
1384;2016/09/20;JoeHukum;Technology;Enterprise customer engagement solutions;New Delhi;Sumit Jain;Seed Funding;N/A;nan
1385;2016/09/21;Co Life;Consumer Internet;shared living and working spaces platform;Bangalore;Undisclosed Investors;Seed Funding;10,00,000;nan
1386;2016/09/21;PurpleDocs;Consumer Internet;Electronic Health care records platform;Vadodara;KellyGamma, Lead Angels & Others;Seed Funding;N/A;nan
1387;2016/09/21;Pepperfry;eCommerce;Furniture eTailer;Mumbai;Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India;Private Equity;3,13,00,000;nan
1388;2016/09/21;eQuickies;eCommerce;Online Book etailer;Ahmedabad;Lothal Angel Ventures;Seed Funding;2,98,000;nan
1389;2016/09/21;Khel Now;Consumer Internet;Mobile-based social networking platform;New Delhi;Anglian Omega Network;Seed Funding;3,50,000;nan
1390;2016/09/22;Gadgetwood;Consumer Internet;On-Demand Gadget repair services platform;New Delhi;Carpediem Capital;Private Equity;60,00,000;nan
1391;2016/09/22;DailyRounds;Consumer Internet;Mobile App for Doctors;Bangalore;Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings;Private Equity;N/A;nan
1392;2016/09/22;Flixy Games;Technology;Mobile Game Publisher for Indian audience;Bangalore;Rebright Partners;Seed Funding;4,25,000;nan
1393;2016/09/22;HashTaag;Technology;Mobile App Development company;Bangalore;Undisclosed investors;Seed Funding;10,00,000;nan
1394;2016/09/22;PharmaRack;Technology;SAAS application for Pharma Industry;Pune;Currae Healthtech Fund, Unicorn India Ventures;Private Equity;7,45,000;nan
1395;2016/09/23;\\xc2\\xa0CloudCherry;Technology;CRM SAAS Platform;Chennai;Vertex Ventures, Cisco Ventures, IDG Ventures;Private Equity;60,00,000;nan
1396;2016/09/23;Parentlane;Consumer Internet;Social Platform for babycare and parenting;Bangalore;Rohit MA;Seed Funding;N/A;nan
1397;2016/09/23;First Moms Club;Consumer Internet;Social Network for Mothers;Mumbai;Idea Wave Labs;Seed Funding;N/A;nan
1398;2016/09/23;inMotion;Technology;Financial platform for daily wage earning communities;Noida;Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal;Seed Funding;N/A;nan
1399;2016/09/26;Let\xe2\x80\x99s Barter;Consumer Internet;Goods & Services Barter Platform;New Delhi;Scale Ventures Funds;Seed Funding;N/A;nan
1400;2016/09/26;EvenGini;Consumer Internet;Event Registration and Ticketing platform;Chennai;Procam International Pvt. Ltd;Private Equity;N/A;nan
1401;2016/09/27;TinyStep;Consumer Internet;Parenting Network Platform;Bangalore;Flipkart Logistics Pvt. Ltd;Private Equity;15,80,000;nan
1402;2016/09/27;Canvs;Consumer Internet;Community Platform for Artists and Designers;Mumbai;Pratik Seal;Seed Funding;N/A;nan
